pp_id,accuracy,precision,recall,f1
1,0,0.3333333333333333,0.5,0.4
2,1,1.0,1.0,1.0
3,0,1.0,0.25,0.4
4,0,1.0,0.3333333333333333,0.5
5,0,1.0,0.6666666666666666,0.8
6,0,0.5,0.3333333333333333,0.4
7,0,0.6666666666666666,1.0,0.8
8,1,1.0,1.0,1.0
9,0,0.0,0.0,0.0
10,0,0.5,0.5,0.5
11,0,0.5,0.5,0.5
12,0,1.0,0.75,0.8571428571428571
13,0,1.0,0.6666666666666666,0.8
14,0,1.0,0.6666666666666666,0.8
15,0,1.0,0.3333333333333333,0.5
16,0,1.0,0.3333333333333333,0.5
17,0,1.0,0.6666666666666666,0.8
18,0,1.0,0.75,0.8571428571428571
19,0,1.0,0.6,0.7499999999999999
20,0,1.0,0.5,0.6666666666666666
21,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,0,0.0,0.0,0.0
23,0,1.0,0.8,0.888888888888889
24,0,1.0,0.6666666666666666,0.8
25,0,1.0,0.5,0.6666666666666666
26,0,0.0,0.0,0.0
27,0,0.5,0.6666666666666666,0.5714285714285715
28,0,1.0,0.4,0.5714285714285715
29,0,0.5,0.5,0.5
30,0,0.5,0.5,0.5
31,0,0.0,0.0,0.0
32,1,1.0,1.0,1.0
33,0,1.0,0.6666666666666666,0.8
34,0,1.0,0.6666666666666666,0.8
35,0,1.0,0.6666666666666666,0.8
36,0,1.0,0.6666666666666666,0.8
37,0,1.0,0.6666666666666666,0.8
38,1,1.0,1.0,1.0
39,0,1.0,0.5,0.6666666666666666
40,0,1.0,0.6666666666666666,0.8
41,0,1.0,0.6666666666666666,0.8
42,0,1.0,0.5,0.6666666666666666
43,0,1.0,0.25,0.4
44,0,1.0,0.6666666666666666,0.8
45,0,1.0,0.4,0.5714285714285715
46,0,0.5,0.3333333333333333,0.4
47,0,1.0,0.5,0.6666666666666666
48,0,1.0,0.2,0.33333333333333337
49,0,1.0,0.3333333333333333,0.5
50,0,1.0,0.3333333333333333,0.5
51,0,0.75,0.75,0.75
52,0,1.0,0.5,0.6666666666666666
53,0,1.0,0.5,0.6666666666666666
54,0,0.0,0.0,0.0
55,0,1.0,0.75,0.8571428571428571
56,0,1.0,0.6,0.7499999999999999
57,0,1.0,0.6,0.7499999999999999
58,0,1.0,0.5,0.6666666666666666
59,0,1.0,0.25,0.4
60,0,1.0,0.5,0.6666666666666666
62,0,0.0,0.0,0.0
63,0,0.0,0.0,0.0
64,0,0.0,0.0,0.0
65,0,0.0,0.0,0.0
66,0,0.5,1.0,0.6666666666666666
67,0,0.6666666666666666,0.5,0.5714285714285715
68,0,1.0,0.4,0.5714285714285715
69,0,1.0,0.4,0.5714285714285715
70,0,1.0,0.4,0.5714285714285715
71,0,1.0,0.6,0.7499999999999999
72,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
73,0,0.5,0.3333333333333333,0.4
74,0,1.0,0.4,0.5714285714285715
75,0,1.0,0.75,0.8571428571428571
76,0,1.0,0.4,0.5714285714285715
77,0,1.0,0.6,0.7499999999999999
78,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
79,0,0.5,0.3333333333333333,0.4
80,0,1.0,0.75,0.8571428571428571
81,0,1.0,0.5,0.6666666666666666
87,0,1.0,0.5,0.6666666666666666
89,0,1.0,0.6,0.7499999999999999
92,1,1.0,1.0,1.0
93,0,1.0,0.5,0.6666666666666666
94,0,1.0,0.5,0.6666666666666666
98,0,0.5,0.25,0.3333333333333333
99,0,1.0,0.6666666666666666,0.8
100,0,1.0,0.5,0.6666666666666666
101,0,1.0,0.5,0.6666666666666666
102,0,1.0,0.25,0.4
103,0,1.0,0.25,0.4
104,0,1.0,0.25,0.4
105,0,1.0,0.25,0.4
106,0,1.0,0.25,0.4
107,0,1.0,0.25,0.4
108,0,1.0,0.25,0.4
109,0,0.75,0.75,0.75
110,0,1.0,0.5,0.6666666666666666
