,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id
0,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,1
1,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,2
2,0.0,0.0,0.0,0.0,0.0,0.9983090758323669,0.9983090758323669,0.9983090758323669,3
3,0.0,0.0,0.0,0.0,0.0,0.9990599751472473,0.9990599751472473,0.9990599751472473,4
4,0.0,0.0,0.0,0.0,0.0,0.97834312915802,0.97834312915802,0.97834312915802,5
5,0.0,0.5,0.0,0.0,0.0,0.9997800588607788,0.9997800588607788,0.9997800588607788,6
6,0.0,0.0,0.0,0.0,0.0,0.9997701048851013,0.9997701048851013,0.9997701048851013,7
7,0.0,0.5,0.0,0.0,0.0,0.9997028708457947,0.9997028708457947,0.9997028708457947,8
8,1.0,1.0,1.0,1.0,1.0,0.9999997019767761,0.9999997019767761,0.9999997019767761,9
9,0.0,0.5,0.0,0.0,0.0,0.9993555545806885,0.9993555545806885,0.9993555545806885,10
10,1.0,1.0,1.0,1.0,1.0,0.9999997019767761,0.9999997019767761,0.9999997019767761,11
11,1.0,1.0,1.0,1.0,1.0,0.999999463558197,0.999999463558197,0.999999463558197,12
12,0.0,0.356718192627824,0.8888888888888888,0.25806451612903225,0.39999999999999997,0.9074921607971191,0.8347527384757996,0.8696039915084839,13
13,1.0,1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,0.9999998211860657,14
14,0.0,0.6528925619834711,0.6666666666666666,0.2857142857142857,0.4,0.9488712549209595,0.8874233961105347,0.9171192049980164,15
15,0.0,0.05714285714285714,0.0,0.0,0.0,0.8064099550247192,0.7229061126708984,0.7623783349990845,16
16,0.0,0.3003194888178914,1.0,0.25,0.4,0.9199972152709961,0.8171447515487671,0.8655261397361755,17
17,0.0,0.40336134453781514,0.0,0.0,0.0,0.8480058908462524,0.7779141664505005,0.8114492297172546,18
18,0.0,0.07142857142857142,0.0,0.0,0.0,0.9112212061882019,0.8947614431381226,0.9029163718223572,19
19,0.0,0.0,0.0,0.0,0.0,0.9988526105880737,0.9988526105880737,0.9988526105880737,20
20,0.0,0.0,0.0,0.0,0.0,0.9805390238761902,0.9805390238761902,0.9805390238761902,21
