,pp_id,ratio
0,1,0.3
1,2,1.0
2,3,0.5652173913043478
3,4,0.8695652173913043
4,5,0.9130434782608695
5,6,0.6041666666666666
6,7,0.19
7,8,0.23
8,9,1.0
9,10,0.0
10,11,0.175
11,12,0.9099999999999999
12,13,0.6770516717325228
13,14,0.9845360824742269
14,15,0.935013876040703
15,16,0.935013876040703
16,17,0.769195189639223
17,18,0.4322386679000925
18,19,0.4166666666666667
19,20,0.0
20,21,0.6956521739130435
21,22,0.5769230769230769
22,23,0.425
23,24,0.84
24,25,0.653225806451613
25,26,0.0
26,27,0.42917525773195875
27,28,0.435
28,29,0.7307692307692307
29,30,0.8809523809523809
30,31,1.0
31,32,0.8
32,33,0.5
33,34,0.4
34,35,0.7
35,36,0.8
36,37,0.45454545454545453
37,38,0.85
38,39,0.75
39,40,0.75
40,41,0.75
41,42,0.3055555555555556
42,43,0.5222222222222221
43,44,0.8
44,45,0.3888888888888889
45,46,0.7
46,47,0.85
47,48,0.3
48,49,0.8333333333333334
49,50,0.0
50,51,0.5
51,52,0.6
52,53,0.44999999999999996
53,54,0.0
54,55,0.7
55,56,0.8
56,57,0.5666666666666667
57,58,0.55
58,59,0.4
59,60,0.2333333333333333
60,62,1.0
61,63,1.0
62,64,1.0
63,65,1.0
64,66,1.0
65,67,0.4
66,68,0.525
67,69,0.9
68,70,0.775
69,71,0.375
70,72,0.975
71,73,0.5
72,74,0.725
73,75,0.5
74,76,0.725
75,77,0.675
76,78,0.775
77,79,1.0
78,80,0.6
79,81,0.55
80,87,0.8166666666666668
81,89,0.55
82,92,1.0
83,93,0.6666666666666666
84,94,0.6666666666666666
85,98,0.5
86,99,0.5
87,100,0.26809523809523805
88,101,0.52
89,102,0.51
90,103,0.5
91,104,0.6666666666666666
92,105,0.6733333333333333
93,106,0.6733333333333333
94,107,0.6733333333333333
95,108,0.68
96,109,0.6733333333333333
97,110,0.95
98,111,0.867361111111111
99,112,0.8043478260869565
100,113,0.9284178743961352
101,114,0.94
102,115,1.0
103,116,0.4222222222222222
104,117,0.8143892828999212
105,118,0.9659090909090909
106,119,0.9565217391304348
107,120,0.5287878787878788
108,121,0.6316489361702128
109,122,0.9
110,123,0.7307513914656771
111,124,0.6195652173913043
112,125,0.5565217391304348
113,126,0.9340242669362993
114,127,0.85
115,128,0.9
116,129,0.85
117,130,0.9500000000000001
118,131,0.9500000000000001
119,132,0.7666666666666666
120,133,0.75
121,134,0.725
122,135,0.7
123,136,0.6333333333333333
124,137,0.85
125,138,0.5833333333333334
126,139,0.9
127,140,0.925
128,141,0.8666666666666667
129,142,0.5
130,143,0.6
131,144,0.925
132,145,0.85
133,146,1.0
134,147,0.475
135,148,0.925
136,149,0.9833333333333334
137,150,0.75
138,151,0.8666666666666667
139,152,0.575
140,153,0.9
141,154,0.925
