,accuracy,precision,recall,f1,pp_id
125,0,1.0,0.75,0.8571428571428571,138
126,0,1.0,0.4,0.5714285714285715,139
127,0,1.0,0.5,0.6666666666666666,140
128,0,1.0,0.8,0.888888888888889,141
129,0,0.6666666666666666,0.5,0.5714285714285715,142
130,0,1.0,0.75,0.8571428571428571,143
131,0,1.0,0.5,0.6666666666666666,144
132,1,1.0,1.0,1.0,145
133,0,1.0,0.8,0.888888888888889,146
134,0,1.0,0.25,0.4,147
135,0,1.0,0.6666666666666666,0.8,148
136,0,1.0,0.6,0.7499999999999999,149
137,0,1.0,0.5,0.6666666666666666,150
138,0,1.0,0.5,0.6666666666666666,151
139,0,1.0,0.75,0.8571428571428571,152
140,0,1.0,0.75,0.8571428571428571,153
141,0,1.0,0.75,0.8571428571428571,154
